NR_CERTIFICADO;DT_PROTOCOLO
1143399533109;2025-08-12
1143399753114;2025-08-15
1143399783117;2025-08-18
1143399863114;2025-08-19
1143512203117;2025-03-17
1143512303114;2025-06-16
1143512683117;2025-03-12
1143512873111;2025-03-20
1143512903112;2025-03-12
1143512963112;2025-03-12
1143512993117;2025-03-12
1143513243109;2025-03-13
1143513333108;2025-09-30
1143513343108;2025-03-12
1143513453114;2025-03-25
1143513503108;2025-03-12
1143513893112;2025-03-12
1143514353117;2025-05-08
1143514513117;2025-03-12
1143514953114;2025-04-09
1143514993109;2025-03-13
1143515053117;2025-03-21
1143515503117;2025-03-25
1143515533117;2025-03-12
1143515553112;2025-03-13
1143515623111;2025-03-13
1143515843117;2025-03-17
1143515863117;2025-05-23
1143515953111;2025-04-29
1143515983117;2025-03-13
1143515983114;2025-03-13
1143515993112;2025-03-31
1143516033112;2025-03-31
1143516043117;2025-03-13
1143516283108;2025-04-09
1143516283117;2025-04-09
1143516383117;2025-05-22
1143516403117;2025-03-27
1143516643109;2025-03-13
1143516913108;2025-03-13
1143516933117;2025-03-13
1143517203114;2025-03-13
1143517253109;2025-03-27
1143517363117;2025-03-13
1143517423112;2025-04-23
1143517513109;2025-03-18
1143517533114;2025-03-13
1143517553117;2025-03-14
1143517893117;2025-03-13
1143517933117;2025-03-19
1143517993112;2025-03-18
1143518173109;2025-03-20
1143518303112;2025-03-13
1143518583109;2025-03-13
1143518683112;2025-03-13
1143518723109;2025-03-13
1143518733109;2025-03-13
1143518763111;2025-03-13
1143518883114;2025-03-13
1143518923109;2025-03-13
1143518953108;2025-03-14
1143519063117;2025-03-17
1143519093117;2025-03-14
1143519193108;2025-03-14
1143519293109;2025-03-13
1143519323117;2025-03-13
1143519463114;2025-03-13
1143519473117;2025-04-15
1143519513117;2025-03-25
1143519543114;2025-03-13
1143519603117;2025-03-14
1143519683111;2025-03-13
1143519733109;2025-04-03
1143519823117;2025-03-13
1143519883117;2025-03-13
1143519923112;2025-03-14
1143519943111;2025-03-13
1143519963117;2025-03-13
1143520323112;2025-03-14
1143520403109;2025-03-14
1143520423108;2025-03-14
1143520513109;2025-03-14
1143520793109;2025-03-25
1143520803114;2025-03-14
1143520873109;2025-03-19
1143520893111;2025-05-07
1143520983114;2025-03-26
1143520983117;2025-03-26
1143521063117;2025-03-14
1143521203108;2025-03-14
1143521323108;2025-03-18
1143521423117;2025-03-14
1143521523117;2025-03-18
1143521693117;2025-03-14
1143521733117;2025-03-14
1143521863115;2025-03-31
1143521883114;2025-04-25
1143521913108;2025-03-14
1143522043112;2025-03-14
1143522093117;2025-03-28
1143522133117;2025-03-14
1143522143108;2025-03-14
1143522163117;2025-04-03
1143628693117;2025-03-28
1143628803114;2025-03-14
1143628963117;2025-03-17
1143629123114;2025-03-14
1143629153111;2025-03-14
1143629203117;2025-03-17
1143629333117;2025-03-14
1143629423108;2025-03-14
1143629563109;2025-03-14
1143629863117;2025-03-14
1143629873114;2025-04-03
1143630033114;2025-03-14
1143630193117;2025-03-15
1143630203117;2025-03-16
1143630233114;2025-05-01
1143630283114;2025-05-08
1143630403117;2025-03-18
1143630703108;2025-03-17
1143630803109;2025-03-18
1143630843117;2025-03-17
1143630903112;2025-03-21
1143631193112;2025-03-17
1143631223117;2025-04-01
1143631413109;2025-03-27
1143631473117;2025-03-19
1143631473111;2025-03-19
1143631483109;2025-03-17
1143631493117;2025-05-29
1143631503111;2025-03-17
1143631773117;2025-03-17
1143631923117;2025-03-17
1143631933117;2025-03-19
1143632063114;2025-04-23
1143632293117;2025-03-31
1143632393112;2025-03-17
1143632623114;2025-03-17
1143632853108;2025-04-08
1143632863117;2025-03-26
1143632963117;2025-03-17
1143633053117;2025-03-17
1143633093108;2025-03-18
1143633133108;2025-03-18
1143633223109;2025-03-17
1143633233111;2025-03-18
1143633283108;2025-04-23
1143633423109;2025-09-03
1143633463117;2025-04-23
1143633573114;2025-03-17
1143633623108;2025-03-18
1143633743117;2025-03-19
